,Fitness,Player Life,Enemy Life,Time
0,91.89679627126203,71.80000000000027,0.0,197.0
1,91.41289246928257,67.6000000000003,0.0,210.0
2,91.95964417492169,71.80000000000027,0.0,185.0
3,92.67425332628682,79.0000000000002,0.0,186.0
4,93.13605369405455,81.40000000000018,0.0,149.0
5,94.39971843439497,92.20000000000007,0.0,124.0
6,93.07605369405455,80.80000000000018,0.0,149.0
7,91.78246192029872,71.20000000000027,0.0,208.0
8,93.58637245364764,89.8000000000001,0.0,220.0
9,91.83289246928256,71.80000000000027,0.0,210.0
